#'units:
#'  windspeed_10m: "m/s"
#'  relativehumidity_2m: "0-1"
#'  surface_pressure: "kPa"
#'  time: "iso8601"
#'  temperature_2m: "°C"
#'  shortwave_radiation: "W/m²"
#'  precipitation: "mm"
#'  diffuse_radiation: "W/m²"
#'  direct_radiation: "W/m²"
#'latitude: 48.90001
#'duration: Day
#'longitude: 2.4000092
#'timezone_abbreviation: "UTC"
#'timezone: "UTC"
#'elevation: 36.0
#'
year,dayofyear,date,duration,Tmin,Tmax,T,Precipitations,Wind,P,Rh,Ca,Ri_SW_f,Ri_SW_q,degree_days
2021,104,2021-04-14,1,-1.2,10.7,5.670833333333333,0.0,3.1808333333333327,102.30708333333332,0.6279166666666668,400.0,225.75,19.5048,0.12083333333333328
2021,105,2021-04-15,1,0.4,10.0,5.458333333333335,0.5,3.952083333333333,102.18833333333332,0.6899999999999998,400.0,243.70833333333334,21.0564,0.0
2021,106,2021-04-16,1,0.8,9.9,6.112500000000002,0.1,4.217083333333333,102.00958333333337,0.65875,400.0,197.91666666666666,17.1,0.0
2021,107,2021-04-17,1,3.0,12.6,8.062499999999998,0.0,4.27625,101.78458333333332,0.6591666666666667,400.0,211.04166666666666,18.234,0.6958333333333334
2021,108,2021-04-18,1,2.3,12.6,7.758333333333332,0.0,2.6287499999999993,101.63375,0.7325,400.0,171.66666666666666,14.832,0.7208333333333333
2021,109,2021-04-19,1,1.3,15.1,9.225,0.0,1.7625000000000002,101.35375,0.7216666666666668,400.0,204.875,17.7012,1.7833333333333332
2021,110,2021-04-20,1,6.1,16.1,11.266666666666666,0.6000000000000001,1.8558333333333332,100.9733333333333,0.7087500000000001,400.0,216.375,18.6948,2.341666666666667
2021,111,2021-04-21,1,4.0,17.0,11.441666666666665,0.0,2.6820833333333334,101.01708333333333,0.7112499999999998,400.0,210.08333333333334,18.151200000000003,2.7874999999999996
2021,112,2021-04-22,1,5.2,15.5,10.245833333333334,0.0,4.503333333333334,101.58375000000001,0.6495833333333332,400.0,280.3333333333333,24.2208,1.6791666666666665
2021,113,2021-04-23,1,4.0,17.2,10.912500000000001,0.0,3.8862499999999986,101.84041666666668,0.5895833333333335,400.0,295.5,25.531200000000002,2.5333333333333328
2021,114,2021-04-24,1,4.8,18.3,11.687500000000002,0.0,4.2212499999999995,101.5754166666667,0.5975,400.0,294.5416666666667,25.448400000000003,3.016666666666667
2021,115,2021-04-25,1,5.6,15.5,10.454166666666667,0.0,5.763750000000001,101.45833333333331,0.5812499999999999,400.0,297.6666666666667,25.718400000000003,1.7333333333333334
2021,116,2021-04-26,1,4.6,16.7,10.708333333333334,0.0,5.195833333333334,100.81333333333333,0.5504166666666668,400.0,285.2083333333333,24.642000000000003,2.2416666666666667
2021,117,2021-04-27,1,4.0,17.8,11.329166666666666,0.0,2.5725000000000007,100.10083333333331,0.5320833333333334,400.0,302.3333333333333,26.1216,2.891666666666667
2021,118,2021-04-28,1,6.5,15.8,11.187499999999998,6.3999999999999995,2.539166666666667,99.66499999999996,0.6929166666666667,400.0,148.41666666666666,12.8232,2.2
2021,119,2021-04-29,1,5.1,12.7,8.799999999999999,0.2,3.02,100.27666666666666,0.7145833333333331,400.0,183.25,15.8328,0.6958333333333332
2021,120,2021-04-30,1,4.6,13.3,9.2,0.4,1.7775,100.67875000000005,0.6475000000000002,400.0,259.0,22.3776,1.0291666666666668
2021,121,2021-05-01,1,4.1,11.5,8.058333333333332,6.100000000000001,1.7291666666666663,100.80833333333332,0.7708333333333334,400.0,142.04166666666666,12.272400000000001,0.29583333333333334
2021,122,2021-05-02,1,1.9,13.3,8.191666666666666,0.1,2.2624999999999997,101.41583333333334,0.7745833333333333,400.0,270.875,23.4036,0.8291666666666667
2021,123,2021-05-03,1,2.4,17.2,10.616666666666667,0.0,4.397500000000001,101.20208333333333,0.6191666666666665,400.0,233.625,20.185200000000002,2.6041666666666665
2021,124,2021-05-04,1,8.3,14.1,11.220833333333333,1.1,6.933333333333336,100.11333333333333,0.6479166666666668,400.0,110.0,9.504000000000001,1.4833333333333332
2021,125,2021-05-05,1,6.0,13.2,9.491666666666667,0.4,4.627083333333333,100.5175,0.5841666666666667,400.0,259.3333333333333,22.4064,0.7583333333333333
2021,126,2021-05-06,1,6.6,11.1,8.595833333333331,8.5,2.5470833333333336,100.13541666666667,0.8129166666666666,400.0,85.54166666666667,7.3908000000000005,0.08749999999999998
2021,127,2021-05-07,1,3.6,14.3,9.741666666666669,0.0,2.5274999999999994,101.01666666666671,0.6445833333333334,400.0,234.16666666666666,20.232000000000003,1.4916666666666665
2021,128,2021-05-08,1,7.8,20.1,14.424999999999999,0.8999999999999999,4.3616666666666655,100.48791666666665,0.655,400.0,188.125,16.254,4.737500000000001
2021,129,2021-05-09,1,14.1,25.7,18.75833333333333,5.4,5.153333333333333,99.45666666666666,0.6991666666666666,400.0,243.5,21.038400000000003,8.758333333333331
2021,130,2021-05-10,1,11.2,18.3,14.904166666666661,7.7,4.522916666666666,99.90208333333332,0.70375,400.0,229.875,19.8612,4.904166666666667
2021,131,2021-05-11,1,9.0,15.8,12.595833333333331,1.4,3.2074999999999996,100.3583333333333,0.7258333333333332,400.0,180.33333333333334,15.580800000000002,2.7125000000000004
2021,132,2021-05-12,1,7.1,15.4,11.833333333333334,0.30000000000000004,3.270416666666667,100.45125,0.7141666666666667,400.0,202.70833333333334,17.514,2.3666666666666667
2021,133,2021-05-13,1,8.2,15.2,11.516666666666666,8.200000000000001,3.5750000000000006,100.10875,0.7729166666666668,400.0,225.04166666666666,19.4436,1.8250000000000004
2021,134,2021-05-14,1,7.4,14.5,10.854166666666666,3.3,3.665833333333333,100.21916666666668,0.8233333333333333,400.0,158.66666666666666,13.7088,1.5250000000000004
2021,135,2021-05-15,1,8.8,15.5,11.841666666666667,5.8,5.252499999999999,99.84125000000004,0.7591666666666667,400.0,187.66666666666666,16.2144,2.1250000000000004
2021,136,2021-05-16,1,9.6,16.9,12.441666666666668,7.900000000000002,5.085416666666666,99.69374999999998,0.8329166666666664,400.0,211.16666666666666,18.2448,2.504166666666666
2021,137,2021-05-17,1,9.7,16.1,12.445833333333331,4.799999999999999,5.707083333333333,100.2675,0.7845833333333333,400.0,193.625,16.729200000000002,2.4749999999999996
2021,138,2021-05-18,1,8.9,16.2,11.983333333333334,3.6999999999999997,3.6995833333333334,100.96708333333333,0.7787499999999997,400.0,226.5,19.5696,2.2208333333333337
2021,139,2021-05-19,1,7.9,14.4,11.366666666666667,8.799999999999999,4.285416666666667,101.31166666666667,0.8079166666666668,400.0,223.25,19.288800000000002,1.845833333333333
2021,140,2021-05-20,1,5.6,16.2,12.3125,0.0,4.5841666666666665,101.26749999999998,0.7008333333333333,400.0,187.58333333333334,16.2072,3.1999999999999997
2021,141,2021-05-21,1,10.4,15.8,13.025,0.6000000000000001,7.357916666666667,100.1691666666667,0.6216666666666667,400.0,214.75,18.5544,3.0250000000000004
2021,142,2021-05-22,1,9.1,16.4,12.079166666666667,2.2,6.463333333333335,100.27,0.6883333333333331,400.0,258.0833333333333,22.2984,2.1624999999999996
2021,143,2021-05-23,1,7.4,15.6,12.2875,0.4,5.284999999999999,100.77166666666666,0.6887499999999999,400.0,192.33333333333334,16.6176,2.85
2021,144,2021-05-24,1,9.2,15.4,12.100000000000001,6.3,6.816666666666666,100.30125000000002,0.6745833333333334,400.0,207.54166666666666,17.9316,2.1791666666666663
2021,145,2021-05-25,1,8.5,15.3,11.512500000000001,4.1,5.853333333333333,101.19083333333333,0.7100000000000001,400.0,200.875,17.355600000000003,1.8416666666666668
2021,146,2021-05-26,1,8.8,15.7,12.458333333333334,5.800000000000001,4.4849999999999985,100.97458333333331,0.76125,400.0,201.79166666666666,17.434800000000003,2.5291666666666663
2021,147,2021-05-27,1,6.3,18.4,13.225000000000001,0.0,1.3466666666666667,101.39708333333333,0.7112500000000002,400.0,275.6666666666667,23.817600000000002,3.9375
2021,148,2021-05-28,1,8.4,20.1,14.916666666666664,0.0,2.7708333333333335,101.48374999999999,0.7174999999999999,400.0,305.3333333333333,26.3808,5.108333333333333
2021,149,2021-05-29,1,11.3,20.9,16.354166666666668,0.0,3.2379166666666666,101.66416666666669,0.6425,400.0,249.29166666666666,21.538800000000002,6.354166666666665
2021,150,2021-05-30,1,10.5,21.1,16.433333333333326,0.0,3.431250000000001,101.63624999999998,0.6362499999999999,400.0,298.7083333333333,25.808400000000002,6.433333333333333
2021,151,2021-05-31,1,10.8,22.3,17.208333333333332,0.0,3.4158333333333335,101.18166666666667,0.5833333333333334,400.0,338.375,29.2356,7.208333333333335
2021,152,2021-06-01,1,11.2,26.2,19.40416666666667,0.0,3.0837499999999998,100.57583333333332,0.6133333333333334,400.0,327.125,28.2636,9.404166666666667
2021,153,2021-06-02,1,14.6,26.1,20.291666666666664,6.7,2.9379166666666663,100.66333333333336,0.7733333333333333,400.0,242.58333333333334,20.959200000000003,10.291666666666668
2021,154,2021-06-03,1,17.2,25.4,20.816666666666666,5.3,1.6854166666666666,101.2525,0.7891666666666667,400.0,265.2083333333333,22.914,10.816666666666665
2021,155,2021-06-04,1,15.3,19.8,17.325,5.500000000000001,2.8962499999999998,101.43124999999999,0.8858333333333333,400.0,127.70833333333333,11.034,7.325
2021,156,2021-06-05,1,13.9,19.6,16.354166666666668,1.0,3.651666666666666,101.77874999999999,0.7737500000000002,400.0,167.0,14.4288,6.354166666666667
2021,157,2021-06-06,1,13.2,21.2,17.116666666666664,0.0,2.483333333333334,101.77875,0.6733333333333332,400.0,209.95833333333334,18.1404,7.116666666666667
2021,158,2021-06-07,1,12.0,22.8,18.12916666666667,0.0,2.015833333333333,101.65375,0.65375,400.0,282.25,24.386400000000002,8.129166666666666
2021,159,2021-06-08,1,11.5,23.7,18.754166666666666,0.0,2.0075,101.63583333333332,0.6929166666666667,400.0,278.5416666666667,24.066000000000003,8.754166666666666
2021,160,2021-06-09,1,12.5,25.7,20.304166666666664,0.0,1.3570833333333334,101.58000000000003,0.6758333333333333,400.0,307.5416666666667,26.5716,10.304166666666665
2021,161,2021-06-10,1,15.0,25.5,20.533333333333328,0.0,2.1079166666666667,101.50458333333334,0.6587499999999998,400.0,286.125,24.721200000000003,10.533333333333333
2021,162,2021-06-11,1,14.3,25.7,20.349999999999998,0.0,2.4041666666666663,101.45375,0.7299999999999999,400.0,316.0833333333333,27.309600000000003,10.35
2021,163,2021-06-12,1,14.0,23.8,18.929166666666667,0.0,2.78875,101.70375,0.7395833333333334,400.0,262.0,22.6368,8.929166666666669
2021,164,2021-06-13,1,13.2,25.7,19.841666666666665,0.0,2.974583333333334,101.86250000000001,0.5624999999999999,400.0,340.25,29.3976,9.841666666666667
2021,165,2021-06-14,1,13.0,29.3,22.095833333333335,0.0,1.8479166666666667,101.37416666666671,0.5487500000000001,400.0,342.0416666666667,29.552400000000002,12.095833333333333
2021,166,2021-06-15,1,15.7,28.6,23.087499999999995,0.0,1.9987500000000002,101.20625,0.6241666666666665,400.0,324.0416666666667,27.997200000000003,13.0875
2021,167,2021-06-16,1,17.0,31.8,25.13333333333334,0.2,2.1108333333333333,100.54083333333334,0.6191666666666665,400.0,305.1666666666667,26.366400000000002,15.133333333333333
2021,168,2021-06-17,1,20.1,30.2,24.149999999999995,7.0,2.6574999999999998,100.41958333333332,0.7154166666666667,400.0,258.375,22.323600000000003,14.15
